title, date, username, lat, lng, description
Vodnik Square (Vodnikov trg), Reviewed February 6 2017, Guillermo L, 46.051079, 14.509243, Monuments & Statues
Ljubljana Old Town, Reviewed May 29 2017, Marcin W, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed July 9 2016, geremia54, 46.051815, 14.506286, Bridges
Museum of Illusions - Ljubljana, Reviewed January 18 2017, Pavle F, 46.049751, 14.503541, Children's Museums
Preseren Square, Reviewed October 24 2014, Svetlana C, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed November 9 2015, Ma J, 46.051033, 14.506317, Neighborhoods
French Revolution Square (Trg Francoske Revolucije), Reviewed October 26 2016, Rita_G_64, 46.047207, 14.502625, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed July 2 2017, gosiakacz, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed April 22 2014, Tiziana P, 46.051815, 14.506286, Bridges
National Museum of Contemporary History (Muzej Novejse Zgodovine Slovenije), Reviewed August 19 2013, Melanie V, 46.059364, 14.495503, History Museums
Town Hall (Magistrat), Reviewed August 8 2016, Marjolein747, 46.050060, 14.506863, Government Buildings
Ljubljana Old Town, Reviewed October 26 2013, TravellingFlowers, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed May 15 2017, klscaz, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed October 6 2015, steve20251, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed June 24 2017, shari w, 46.051815, 14.506286, Bridges
River Ljubljanica Kanal, Reviewed July 14 2016, FedeeMarco, 46.050674, 14.505830, Bodies of Water
Preseren Square, Reviewed March 21 2012, Elaine1, 46.051296, 14.506147, Points of Interest & Landmarks
National Museum of Contemporary History (Muzej Novejse Zgodovine Slovenije), Reviewed July 25 2014, danielFlorence_Italy, 46.059364, 14.495503, History Museums
Slovenian Philharmonic Hall (Slovenska Filharmonija), Reviewed June 14 2015, Mitch_sky, 46.049671, 14.504570, Architectural Buildings
Butcher's Bridge, Reviewed December 8 2014, MARIA P, 46.051743, 14.508775, Bridges
Metelkova, Reviewed May 19 2016, Gianluca S, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed March 31 2015, LouJohnson, 46.051033, 14.506317, Neighborhoods
River Ljubljanica Kanal, Reviewed February 15 2014, Koala-san-Tokyo, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed October 10 2015, Rosemary G, 46.051033, 14.506317, Neighborhoods
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed July 15 2015, Connie L, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Castle, Reviewed July 27 2016, BCbikeGuy, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed August 22 2015, riripan, 46.051743, 14.508775, Bridges
Ljubljana Castle Funicular, Reviewed October 12 2016, odeko, 46.049046, 14.508827, Castles
Museum of Illusions - Ljubljana, Reviewed August 20 2017, Francesco D, 46.049751, 14.503541, Children's Museums
Ljubljana Old Town, Reviewed August 10 2016, Daniela M, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed January 27 2016, adriana n, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed September 9 2017, martina i, 46.049046, 14.508827, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed July 13 2016, Claudio-Riminese, 46.050743, 14.508185, Sacred & Religious Sites
Preseren Square, Reviewed June 22 2017, Mario C, 46.051296, 14.506147, Points of Interest & Landmarks
Technical Museum of Slovenia, Reviewed September 6 2017, Zvone V, 45.946541, 14.332380, Specialty Museums
Ljubljana Castle, Reviewed November 28 2011, ilTorinese, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed January 3 2017, ciro C, 46.051815, 14.506286, Bridges
Dragon Bridge (Zmajski Most), Reviewed August 31 2014, unitednationsofwine, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed January 4 2017, verina90, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed November 18 2015, Luuk G, 46.049046, 14.508827, Castles
Ljubljana Old Town, Reviewed June 29 2016, Tomi61, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle Funicular, Reviewed August 27 2015, Petra C, 46.049046, 14.508827, Castles
River Ljubljanica Kanal, Reviewed May 7 2016, Kativaan, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed September 1 2015, nijntje39, 46.051033, 14.506317, Neighborhoods
River Ljubljanica Kanal, Reviewed January 12 2017, Rita d, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed September 7 2015, Guillermo F, 46.051033, 14.506317, Neighborhoods
National and University Library, Reviewed November 26 2016, Tommaso R, 46.047668, 14.503983, Libraries
Butcher's Bridge, Reviewed October 6 2015, masternatas, 46.051743, 14.508775, Bridges
Ljubljana Old Town, Reviewed February 9 2016, PlutonMars, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed April 5 2015, jstsmblaz, 46.052151, 14.510453, Bridges
Dragon Bridge (Zmajski Most), Reviewed July 13 2013, Magellano81, 46.052151, 14.510453, Bridges
Slovenian Philharmonic Hall (Slovenska Filharmonija), Reviewed January 19 2017, Barbara M, 46.049671, 14.504570, Architectural Buildings
Ljubljana Old Town, Reviewed July 22 2015, lupin1014, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed December 27 2016, Scarloss55, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed September 2 2015, Claudia I, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed July 2 2016, Kunzel40, 46.051815, 14.506286, Bridges
Town Hall (Magistrat), Reviewed April 16 2014, Jeanny8, 46.050060, 14.506863, Government Buildings
Ljubljana Castle Funicular, Reviewed August 9 2017, Reads23, 46.049046, 14.508827, Castles
Triple Bridge (Tromostovje), Reviewed November 30 2016, ROSEMARY C, 46.051815, 14.506286, Bridges
Skyscraper (Neboticnik), Reviewed August 17 2017, Donato D, 46.053196, 14.503623, Architectural Buildings
Ljubljana Castle Funicular, Reviewed January 4 2017, Kitt P, 46.049046, 14.508827, Castles
Triple Bridge (Tromostovje), Reviewed July 26 2013, Simon C, 46.051815, 14.506286, Bridges
Skyscraper (Neboticnik), Reviewed August 31 2015, Timmto_1981, 46.053196, 14.503623, Architectural Buildings
Triple Bridge (Tromostovje), Reviewed February 18 2017, Rachel K, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed September 19 2012, SofiaJoe, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed August 23 2016, SuperDave47, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 15 2015, Davide B, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed December 19 2016, Lia P, 46.051033, 14.506317, Neighborhoods
Metelkova, Reviewed April 10 2017, saml0ck, 46.056568, 14.516992, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 24 2017, Becky W, 46.051815, 14.506286, Bridges
Vodnik Square (Vodnikov trg), Reviewed October 6 2017, Linda B, 46.051079, 14.509243, Monuments & Statues
Union Experience - Union Brewery, Reviewed September 1 2016, geovsp78, 46.059261, 14.499269, Breweries
Tivoli Park, Reviewed May 7 2016, Novumcomum, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed October 15 2016, WorldTravellerDR, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed November 27 2016, Sipiurs, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed April 26 2017, Eugenio C, 46.049046, 14.508827, Castles
Ljubljana Old Town, Reviewed October 2 2017, rolandeernegem, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed August 22 2014, Agn?s A, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed April 18 2016, adi s, 46.051033, 14.506317, Neighborhoods
Franciscan Church (Franciskanska cerkev), Reviewed January 17 2016, Rachel A, 46.051380, 14.506208, Sacred & Religious Sites
Ljubljana Castle, Reviewed August 31 2015, Francesco F, 46.048809, 14.508312, Castles
ZOO Ljubljana, Reviewed October 1 2017, BacardiMan66, 46.054249, 14.471506, Zoos
Ljubljana Old Town, Reviewed June 7 2017, Branimir I, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed November 22 2016, cay124, 46.052151, 14.510453, Bridges
Hauptmannova Hisa, Reviewed June 11 2017, Rita_G_64, 46.051514, 14.505887, Architectural Buildings
Ljubljana Castle, Reviewed November 29 2013, rickyvesco, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed May 12 2017, Luca P, 46.051033, 14.506317, Neighborhoods
Preseren Square, Reviewed September 2 2016, Verinha53, 46.051296, 14.506147, Points of Interest & Landmarks
Triple Bridge (Tromostovje), Reviewed September 28 2015, Oliver S, 46.051815, 14.506286, Bridges
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed August 24 2014, paulabriffa, 46.050743, 14.508185, Sacred & Religious Sites
Triple Bridge (Tromostovje), Reviewed December 13 2014, ludwiga2012, 46.051815, 14.506286, Bridges
River Ljubljanica Kanal, Reviewed May 21 2016, MROYAL, 46.050674, 14.505830, Bodies of Water
Ljubljana Castle, Reviewed August 27 2014, fabio r, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed July 23 2017, Epicurien38, 46.048809, 14.508312, Castles
Skyscraper (Neboticnik), Reviewed September 10 2017, Irene F, 46.053196, 14.503623, Architectural Buildings
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed August 16 2014, Monica Z, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed October 6 2016, Keels O, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed December 27 2016, Yulia O, 46.052151, 14.510453, Bridges
Triple Bridge (Tromostovje), Reviewed September 10 2013, Josepuch, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed January 3 2017, Roberto O, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed August 28 2017, 983RobertoB, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed August 18 2016, 309MarcoB, 46.048809, 14.508312, Castles
CityPark Shopping Center, Reviewed July 21 2017, Sabrine S, 46.063591, 14.547510, Shopping Malls
Ljubljana Old Town, Reviewed July 7 2016, seustace2003, 46.051033, 14.506317, Neighborhoods
Franciscan Church (Franciskanska cerkev), Reviewed April 13 2015, theotherrob, 46.051380, 14.506208, Sacred & Religious Sites
Butcher's Bridge, Reviewed August 12 2017, Andrzej S, 46.051743, 14.508775, Bridges
House of Experiments - Hisa eksperimentov, Reviewed September 1 2017, MauroGaggero, 46.052608, 14.510880, Children's Museums
Ljubljana Old Town, Reviewed July 10 2017, Rick G, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed September 25 2016, Maxim D, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed September 21 2016, Yves L, 46.051033, 14.506317, Neighborhoods
Tourist Information Centre Ljubljana, Reviewed April 15 2017, Busialaconner, 46.051025, 14.506311, Visitor Centers
Ljubljana Old Town, Reviewed January 5 2015, Antonio P, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed June 18 2015, igor f, 46.051033, 14.506317, Neighborhoods
Preseren Square, Reviewed October 15 2016, swennen, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed January 22 2014, missbrowneyesxx, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed August 9 2017, Reads23, 46.051033, 14.506317, Neighborhoods
River Ljubljanica Kanal, Reviewed August 16 2016, TravelBoy198346, 46.050674, 14.505830, Bodies of Water
Dragon Bridge (Zmajski Most), Reviewed June 11 2017, t73113, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed April 21 2017, Thrioue, 46.048809, 14.508312, Castles
Metelkova, Reviewed September 14 2016, Bleid248, 46.056568, 14.516992, Neighborhoods
Ljubljana Old Town, Reviewed August 2 2017, Unayellow, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed May 13 2016, Olga M, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed August 27 2016, Pilar S, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed June 4 2015, Oscar M, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed September 17 2015, 0Girasole, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed May 10 2017, aswad9, 46.048809, 14.508312, Castles
Preseren Square, Reviewed May 11 2015, Daniel-Attenborough, 46.051296, 14.506147, Points of Interest & Landmarks
Technical Museum of Slovenia, Reviewed June 27 2017, �eljko K, 45.946541, 14.332380, Specialty Museums
Ljubljana Castle, Reviewed October 3 2014, TorTybringAralt, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed August 25 2013, CarolinaBelo, 46.050743, 14.508185, Sacred & Religious Sites
Minicity Ljubljana, Reviewed July 26 2015, Paul E, 46.067627, 14.541853, Theme Parks
Triple Bridge (Tromostovje), Reviewed April 28 2017, IamQingfa, 46.051815, 14.506286, Bridges
Plecnik House, Reviewed September 8 2017, lindamyers2, 46.042290, 14.502380, Historic Sites
Ljubljana Castle, Reviewed November 3 2016, Mary D, 46.048809, 14.508312, Castles
River Ljubljanica Kanal, Reviewed October 2 2015, Miriam F, 46.050674, 14.505830, Bodies of Water
Shoemaker's Bridge (Cevljarski Most), Reviewed May 24 2015, Rousse-russe, 46.048454, 14.505839, Bridges
Museum of Contemporary Art Metelkova (MSUM), Reviewed April 29 2016, Anna B, 46.055580, 14.516952, Art Museums
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed December 14 2016, Chris P, 46.050743, 14.508185, Sacred & Religious Sites
Triple Bridge (Tromostovje), Reviewed December 20 2014, ern50, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed November 1 2016, sc1956, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed March 25 2016, Adrian_SELondon, 46.051815, 14.506286, Bridges
Ljubljana Castle, Reviewed January 4 2015, paola7431, 46.048809, 14.508312, Castles
Triple Bridge (Tromostovje), Reviewed September 29 2012, vromvrom, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed July 29 2015, Eugeni N, 46.049046, 14.508827, Castles
Museum of Illusions - Ljubljana, Reviewed September 6 2017, noctua1975, 46.049751, 14.503541, Children's Museums
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed October 21 2011, Bev082, 46.050743, 14.508185, Sacred & Religious Sites
Museum of Illusions - Ljubljana, Reviewed March 31 2017, chipipi, 46.049751, 14.503541, Children's Museums
Butcher's Bridge, Reviewed October 5 2017, Linda B, 46.051743, 14.508775, Bridges
Snopc o' tecca, Reviewed September 11 2013, Senie P, 46.052231, 14.506470, Other Food & Drink
Roman Wall, Reviewed March 12 2017, Rita_G_64, 46.046379, 14.497344, Points of Interest & Landmarks
Ljubljana Castle, Reviewed July 18 2017, Marc M, 46.048809, 14.508312, Castles
Preseren Square, Reviewed June 2 2017, LEIBINGER, 46.051296, 14.506147, Points of Interest & Landmarks
Znamenje svete Trojice, Reviewed August 17 2017, Aleksandar S, 46.050201, 14.503790, Monuments & Statues
Ljubljana Old Town, Reviewed August 18 2016, Sophie L, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed March 15 2013, Yummymimi, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed July 19 2014, Jose Manuel M, 46.050743, 14.508185, Sacred & Religious Sites
Ljubljana Old Town, Reviewed November 22 2016, Susanne K, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed October 27 2014, David_R_Silva, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed July 3 2015, Dieter S, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed April 12 2017, MEllmann, 46.051033, 14.506317, Neighborhoods
Preseren Square, Reviewed September 9 2015, rosaG5475BP, 46.051296, 14.506147, Points of Interest & Landmarks
Triple Bridge (Tromostovje), Reviewed September 11 2015, armine21, 46.051815, 14.506286, Bridges
Ljubljana Castle Funicular, Reviewed July 20 2016, Paco F, 46.049046, 14.508827, Castles
Dragon Bridge (Zmajski Most), Reviewed August 11 2017, Claudio R, 46.052151, 14.510453, Bridges
Technical Museum of Slovenia, Reviewed February 19 2013, Janja L, 45.946541, 14.332380, Specialty Museums
Dragon Bridge (Zmajski Most), Reviewed August 17 2014, mariekesaerens, 46.052151, 14.510453, Bridges
Tivoli Park, Reviewed July 10 2016, IamLindyLou, 46.087688, 14.473920, Parks
Preseren Square, Reviewed September 20 2014, regina c, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed November 20 2016, Hendrik-Saarland, 46.048809, 14.508312, Castles
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed November 29 2015, Aragorn65, 46.050743, 14.508185, Sacred & Religious Sites
Dragon Bridge (Zmajski Most), Reviewed April 12 2013, MsKittyPgh, 46.052151, 14.510453, Bridges
Skyscraper (Neboticnik), Reviewed 4 weeks ago, Ond�ej D, 46.053196, 14.503623, Architectural Buildings
River Ljubljanica Kanal, Reviewed November 19 2016, RBaccc, 46.050674, 14.505830, Bodies of Water
Ljubljana Old Town, Reviewed January 9 2017, christianx_12, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed January 6 2016, Antonio C, 46.052151, 14.510453, Bridges
Opera, Reviewed April 19 2016, Maurizio F, 46.052757, 14.500817, Operas
Tourist Information Centre Ljubljana, Reviewed May 7 2017, albin47, 46.051025, 14.506311, Visitor Centers
Ljubljana Castle, Reviewed July 27 2014, max_ap, 46.048809, 14.508312, Castles
Tivoli Park, Reviewed January 3 2017, Claudia A, 46.087688, 14.473920, Parks
Ljubljana Castle, Reviewed August 1 2015, sandra m, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed February 3 2017, Trehar, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed May 14 2014, Enamos, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 23 2016, Ana B, 46.051815, 14.506286, Bridges
Dragon Bridge (Zmajski Most), Reviewed February 28 2016, Negroboa, 46.052151, 14.510453, Bridges
ZOO Ljubljana, Reviewed July 21 2015, Mary M, 46.054249, 14.471506, Zoos
Ljubljana Castle, Reviewed May 24 2016, JureJanezic, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed May 27 2014, Nikudo, 46.051033, 14.506317, Neighborhoods
Mestni Trg, Reviewed December 5 2015, Marcus B, 46.049423, 14.506438, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed June 21 2015, Patti G, 46.051033, 14.506317, Neighborhoods
Castle Chapel of St George, Reviewed August 22 2017, Ilario B, 46.051270, 14.503070, Historic Sites
Ljubljana Castle Funicular, Reviewed March 28 2016, Emmaaix, 46.049046, 14.508827, Castles
Ljubljana Castle, Reviewed August 5 2014, Jenn W, 46.048809, 14.508312, Castles
ZOO Ljubljana, Reviewed July 23 2016, Mladen V, 46.054249, 14.471506, Zoos
Tivoli Park, Reviewed January 23 2016, federica p, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed July 29 2013, Maxxxines, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed February 19 2017, Angela C, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed October 13 2016, ?????? ?, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed July 1 2016, tylkopolska, 46.052151, 14.510453, Bridges
Museum of Illusions - Ljubljana, Reviewed September 12 2017, Viktor D, 46.049751, 14.503541, Children's Museums
Ljubljana Castle Funicular, Reviewed September 30 2014, Olga L, 46.049046, 14.508827, Castles
Triple Bridge (Tromostovje), Reviewed May 25 2016, AngeloBaldasso, 46.051815, 14.506286, Bridges
Slovenian Philharmonic Hall (Slovenska Filharmonija), Reviewed February 28 2016, Keee-eee, 46.049671, 14.504570, Architectural Buildings
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed September 6 2017, Peter G, 46.050743, 14.508185, Sacred & Religious Sites
Hercules Fountain, Reviewed April 29 2016, Anna B, 46.047432, 14.506335, Fountains
Ljubljana Old Town, Reviewed September 2 2015, F_tima_C_12, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed August 28 2017, activenretired, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed February 25 2016, SILDOR, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed July 23 2017, ositos_monos, 46.048809, 14.508312, Castles
Butcher's Bridge, Reviewed 4 weeks ago, tigerxmen, 46.051743, 14.508775, Bridges
Triple Bridge (Tromostovje), Reviewed May 30 2016, Pinogordo, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed August 10 2012, akhter C, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed July 11 2017, Louis X, 46.051033, 14.506317, Neighborhoods
Metelkova, Reviewed October 23 2015, Nele C, 46.056568, 14.516992, Neighborhoods
Ljubljana Castle, Reviewed January 17 2016, Rachel A, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed July 10 2017, nancyj02015, 46.049046, 14.508827, Castles
Preseren Square, Reviewed June 25 2011, DiscoverTheUnknown, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed September 28 2016, Lukasz8dosz, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed June 21 2016, J_Neira986, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed December 1 2014, RON??, 46.048809, 14.508312, Castles
Dragon Bridge (Zmajski Most), Reviewed September 29 2017, Vandieman111, 46.052151, 14.510453, Bridges
Preseren Square, Reviewed March 19 2015, Superhoopa, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed December 14 2013, Antanas B, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed April 13 2017, BKKMH, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed July 14 2015, GAretiree, 46.049046, 14.508827, Castles
Ljubljana Old Town, Reviewed April 27 2016, PUPE144, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed August 18 2017, JUA0208, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed July 7 2015, Arriaga25, 46.051815, 14.506286, Bridges
Ljubljana Old Town, Reviewed October 22 2016, itziks100, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed April 7 2014, thatgirl1, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed August 5 2016, amexyz, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed December 27 2016, steuccio79, 46.051033, 14.506317, Neighborhoods
Ljubljana Old Town, Reviewed January 1 2017, Marta L, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed September 4 2016, rita r, 46.087688, 14.473920, Parks
Ljubljana Old Town, Reviewed April 23 2016, HSeeingtheworld, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed August 30 2012, samgriento, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed October 28 2013, OlexiiZimin, 46.051033, 14.506317, Neighborhoods
Dragon Bridge (Zmajski Most), Reviewed May 21 2015, Anfield33, 46.052151, 14.510453, Bridges
Ljubljana Castle, Reviewed June 16 2016, MaxxAlex1, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed May 10 2017, aswad9, 46.049046, 14.508827, Castles
River Ljubljanica Kanal, Reviewed August 19 2016, jack4trip, 46.050674, 14.505830, Bodies of Water
Skyscraper (Neboticnik), Reviewed August 15 2016, Heather S, 46.053196, 14.503623, Architectural Buildings
Ljubljana Old Town, Reviewed August 16 2017, Stephane P, 46.051033, 14.506317, Neighborhoods
Ljubljana Castle, Reviewed November 3 2015, Dorsetbruce, 46.048809, 14.508312, Castles
River Ljubljanica Kanal, Reviewed October 21 2014, Ksenija312, 46.050674, 14.505830, Bodies of Water
Ljubljana Castle, Reviewed September 3 2015, Edithbeatrizburgos, 46.048809, 14.508312, Castles
Ljubljana Castle, Reviewed September 10 2015, DaisyG2505, 46.048809, 14.508312, Castles
Franciscan Church (Franciskanska cerkev), Reviewed December 28 2016, fabiohenrique2016, 46.051380, 14.506208, Sacred & Religious Sites
Metelkova, Reviewed September 30 2016, ChrisJepson, 46.056568, 14.516992, Neighborhoods
Ljubljana Castle, Reviewed August 20 2015, patHau, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed June 28 2017, manijafe, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed March 15 2015, Shauna M, 46.051815, 14.506286, Bridges
Town Hall (Magistrat), Reviewed August 19 2016, aramaxPadernoDugnano, 46.050060, 14.506863, Government Buildings
Ljubljana Old Town, Reviewed January 31 2017, Dilek G, 46.051033, 14.506317, Neighborhoods
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed July 31 2017, Alfonso F, 46.050743, 14.508185, Sacred & Religious Sites
National Gallery (Narodna Galerija), Reviewed May 17 2017, Cristian C, 46.054077, 14.500196, Art Museums
Ljubljana Castle, Reviewed May 21 2014, ELAINE_RAQUEL, 46.048809, 14.508312, Castles
Mestni Trg, Reviewed February 6 2015, chiara s, 46.049423, 14.506438, Points of Interest & Landmarks
Ljubljana Castle, Reviewed September 13 2017, Andrea T, 46.048809, 14.508312, Castles
Ljubljana Old Town, Reviewed April 11 2017, EnriqueCF, 46.051033, 14.506317, Neighborhoods
Preseren Square, Reviewed April 22 2016, ELear, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Castle, Reviewed May 6 2016, Eros Z, 46.048809, 14.508312, Castles
Ljubljana Castle Funicular, Reviewed January 11 2016, Rin012, 46.049046, 14.508827, Castles
Ljubljana Castle, Reviewed June 8 2016, Tullio R, 46.048809, 14.508312, Castles
Modern Gallery (Moderna Galerija), Reviewed April 25 2015, SwordMaiden, 46.052994, 14.499060, Art Museums
Cathedral of St. Nicholas (Stolnica Sv. Nikolaja), Reviewed September 22 2017, Serviceprof, 46.050743, 14.508185, Sacred & Religious Sites
River Ljubljanica Kanal, Reviewed September 16 2016, AlexToYou, 46.050674, 14.505830, Bodies of Water
Butcher's Bridge, Reviewed April 26 2015, ciaobella79, 46.051743, 14.508775, Bridges
Ljubljana Old Town, Reviewed August 28 2017, silnaz2014, 46.051033, 14.506317, Neighborhoods
Tivoli Park, Reviewed April 5 2015, sabrinacheng12, 46.087688, 14.473920, Parks
Triple Bridge (Tromostovje), Reviewed October 20 2014, ThomasAuckland, 46.051815, 14.506286, Bridges
Preseren Square, Reviewed September 12 2015, Marco T, 46.051296, 14.506147, Points of Interest & Landmarks
Ljubljana Old Town, Reviewed December 13 2015, Gianluca R, 46.051033, 14.506317, Neighborhoods
Triple Bridge (Tromostovje), Reviewed August 4 2014, virsel, 46.051815, 14.506286, Bridges
Tivoli Park, Reviewed August 10 2016, Tamara M, 46.087688, 14.473920, Parks
Museum of Illusions - Ljubljana, Reviewed May 13 2017, Arisha-Art, 46.049751, 14.503541, Children's Museums
Ljubljana Old Town, Reviewed September 28 2016, spwo, 46.051033, 14.506317, Neighborhoods
Franciscan Church (Franciskanska cerkev), Reviewed July 21 2012, porkchopexpress1979, 46.051380, 14.506208, Sacred & Religious Sites
