address, lat, lng
Kras (#restaurant), 46.051739, 14.505
Park Zibert (#restaurant), 46.08913, 14.47203
Cielito Lindo (#restaurant), 46.052174, 14.507422
Dunya Doner Ljubljana (#restaurant), 46.057419, 14.5095
Gostilna Portal (#restaurant), 46.055641, 14.546542
Brunch (#restaurant), 46.066891, 14.54129
Taverna Tatjana (#restaurant), 46.04557, 14.509044
FRKS (#restaurant), 46.050171, 14.50501
Han (#restaurant), 46.050358, 14.504306
Mr and Mrs Green (#restaurant), 46.04966, 14.50577
Lacna koza (#restaurant), 46.053188, 14.50787
Liquid Bar (#restaurant), 46.052246, 14.510824
MoySushi (#restaurant), 46.048939, 14.50613
Franky's Bar (#restaurant), 46.055401, 14.50757
Hallo Leskovac (#restaurant), 46.046337, 14.506741
Gostilna Kosir (#restaurant), 46.117828, 14.46212
Fejstmeni (#restaurant), 46.052792, 14.50257
Gostilnica Marjeta (#restaurant), 46.02467, 14.72907
Separe (#restaurant), 46.035759, 14.48278
Gostilna Kersic (#restaurant), 46.061272, 14.49669
Bazilika Krizanke (#restaurant), 46.047359, 14.50265
Kavarna Sem (#restaurant), 46.054996, 14.51574
Livada (#restaurant), 46.036282, 14.51183
Ajda (#restaurant), 46.053516, 14.504639
Forum bar (#restaurant), 46.051945, 14.508889
Hotspot Bar & Bistro (#restaurant), 46.074402, 14.518099
Izlozba (#restaurant), 46.06422, 14.50577
Balkan Express (#restaurant), 46.06654, 14.54284
The Prince of Orange (#restaurant), 46.052856, 14.511428
Singer Atelier Cafe (#restaurant), 46.046452, 14.508508
Bistro Ftp (#restaurant), 46.050575, 14.460126
Kepca in Klasek (#restaurant), 46.113522, 14.46142
Ns plac (#restaurant), 46.075062, 14.48338
Slascicarna Rasica (#restaurant), 46.102791, 14.53207
Eksperiment Restaurant & Bar (#restaurant), 46.048004, 14.501636
Cesarsko mesto (#restaurant), 46.046421, 14.55173
Restavracija Element (#restaurant), 46.098221, 14.53456
Gas Station (#restaurant), 46.064583, 14.52552
Gostilna Pecaric (#restaurant), 46.044819, 14.45155
Intercontinental - hotel restaurant (#restaurant), 46.033451, 14.52769
Don't Tell Mama Restavracija (#restaurant), 46.037811, 14.49901
Kodila gourmet (#restaurant), 46.051548, 14.509179
Gostilna Nona (#restaurant), 46.034561, 14.46244
Okrepcevalnica Jagoda Kebab (#restaurant), 46.064651, 14.49403
Lars&Sven Burgers (#restaurant), 46.08786, 14.47597
Slascicarna in Kavarna Dulcis Caffe (#restaurant), 46.06654, 14.54284
Pekarna Delfina (#restaurant), 46.052311, 14.5101
Solist (#restaurant), 46.049511, 14.505453
Restavracija Sole (#restaurant), 46.056889, 14.51017
Gostilna Rozna Hisa (#restaurant), 46.04689, 14.48532
Okrepcevalnica Kongo (#restaurant), 46.095879, 14.49794
Kavarna in bistro MihaChef (#restaurant), 46.113434, 14.461594
Bistro Ambient (#restaurant), 46.055309, 14.50868
LP Bar (#restaurant), 46.047611, 14.50471
Pizzeria/Picerija Spagetarija Kavarna Oliva (#restaurant), 46.047329, 14.54543
Torta (#restaurant), 46.051189, 14.507512
Atrium (#restaurant), 46.058121, 14.45178
Clementina Caffe Bar (#restaurant), 46.046349, 14.50834
Subway Bezigrad (#restaurant), 46.07497, 14.51117
Lepa Zoga (#restaurant), 46.06139, 14.496176
Gostilna Raubar (#restaurant), 46.064301, 14.50659
Fast Food BUREK 1 (#restaurant), 46.050709, 14.51217
Soncek (#restaurant), 46.080441, 14.53458
Seherezada (#restaurant), 46.052509, 14.50984
Gostilna Za Pumpo (#restaurant), 46.044491, 14.48565
Tunnel (#restaurant), 46.044788, 14.51049
Horse's Pub (#restaurant), 46.09198, 14.51418
Krakovc (#restaurant), 46.044186, 14.504537
Dobra Vila Pizzeria (#restaurant), 46.063961, 14.49345
Hombre (#restaurant), 46.039379, 14.48703
Holyfood (#restaurant), 46.04808, 14.49931
Tabay Brothers (#restaurant), 46.081993, 14.515556
Restavracija Pri Levu (#restaurant), 46.056149, 14.50244
Pars (#restaurant), 46.06654, 14.54284
Ljubljana (#restaurant), 46.03878, 14.46862
Bar Konoba (#restaurant), 46.047218, 14.50655
Restaurant Union (#restaurant), 46.053387, 14.506235
Utrip - bar bistro kavarna (#restaurant), 46.056156, 14.519107
Gostilna Dobnikar (#restaurant), 46.092209, 14.36991
Konoba - Rival trade (#restaurant), 46.06654, 14.54284
Korean Bistro Suwon (#restaurant), 46.07328, 14.510619
Twenty Caffe (#restaurant), 46.06654, 14.54284
Flancat Ljubljana (#restaurant), 46.052139, 14.50872
PE Pizza Pub (#restaurant), 46.080959, 14.51257
Restavracija B2 (#restaurant), 46.034382, 14.48322
Radha Govinda (#restaurant), 46.062988, 14.49895
La Favela (#restaurant), 46.056042, 14.50377
Nostalgija (#restaurant), 46.045479, 14.50503
Gastro House 151 (#restaurant), 46.080959, 14.51257
Lavine - Ice cream rolls (#restaurant), 46.051456, 14.508657
Gig (#restaurant), 46.053051, 14.507861
Halo Pinki (#restaurant), 46.04932, 14.51723
Gostilnica Orle (#restaurant), 46.015053, 14.570297
Picestavracija Boccaccio (#restaurant), 46.080811, 14.47861
Restavracija Vozi Misko (#restaurant), 46.021912, 14.53653
ZAJCEK BAR (#restaurant), 46.028629, 14.52346
Dok 19 (#restaurant), 46.05204, 14.50839
Emonska Klet (#restaurant), 46.050259, 14.50235
Shakira (#restaurant), 46.051311, 14.50774
Magda (#restaurant), 46.051319, 14.508868
Favola Spageterija & Pizzerija (#restaurant), 46.077999, 14.51193
McDonald's (#restaurant), 46.069553, 14.54743
Zvezda (#restaurant), 46.06654, 14.54284
Majmun restaurant & bar (#restaurant), 46.06921, 14.522131
Gujzina Mencigar Nobile (#restaurant), 46.049351, 14.51621
Sunknzemlja (#restaurant), 46.0508, 14.50355
Pri Kuklju (#restaurant), 46.05127, 14.50307
Dobrote Vzhoda (#restaurant), 46.063599, 14.49396
Curry Life Figovec (#restaurant), 46.053581, 14.51473
Plac (#restaurant), 46.062256, 14.50855
Flo Bistro (#restaurant), 46.046291, 14.508218
Aga Kebap (#restaurant), 46.05191, 14.50505
Gostilna Zlato Runo (#restaurant), 46.060692, 14.51537
Park Bar (#restaurant), 46.056992, 14.51545
Kavarna Mozaik (#restaurant), 46.075989, 14.4813
Art Bread (#restaurant), 46.04533, 14.48084
Barbarella Juicebar Vegan & Vegetarian (#restaurant), 46.053101, 14.50407
Pub Pod Skalco (#restaurant), 46.046631, 14.503881
Grill point (#restaurant), 46.119694, 14.439724
Valentin (#restaurant), 46.050571, 14.50919
Plecnikov Hram Krizanke (#restaurant), 46.046902, 14.50319
Zmoht (#restaurant), 46.05629, 14.53441
Krejan-Levec (#restaurant), 46.05164, 14.50924
Imperio Mexicano (#restaurant), 46.06842, 14.546069
Trnovski zvon (#restaurant), 46.043213, 14.50375
Restavracija Puccini (#restaurant), 46.065598, 14.549586
Restaurant and Pizzeria Grad Kodeljevo (#restaurant), 46.050251, 14.53104
Duff (#restaurant), 46.052471, 14.5049
Gostilna in Pizzerija Breza (#restaurant), 46.06282, 14.56326
Yildiz han (#restaurant), 46.05127, 14.50307
